"","country","endemic_species_count"
"1","Algeria",1
"2","Angola",3
"3","Argentina",3
"4","Australia",4
"5","Brazil",10
"6","Cambodia",1
"7","Cameroon",4
"8","Chile",1
"9","China",22
"10","Colombia",3
"11","Cuba",2
"12","Democratic Republic of the Congo",1
"13","Dominican Republic",1
"14","Ecuador",3
"15","Guatemala",1
"16","Guinea",1
"17","Honduras",1
"18","India",7
"19","Indonesia",17
"20","Japan",2
"21","Madagascar",6
"22","Malawi",1
"23","Malaysia",1
"24","Micronesia",1
"25","Mongolia",1
"26","México",4
"27","New Caledonia",1
"28","New Zealand",1
"29","North Korea",1
"30","Northern Mariana Islands",2
"31","Pakistan",5
"32","Papua New Guinea",1
"33","Philippines",5
"34","Puerto Rico",2
"35","Saint Helena, Ascension and Tris",1
"36","Sierra Leone",1
"37","South Africa",2
"38","Sri Lanka",1
"39","Taiwan",1
"40","Turkey",4
"41","United States",20
"42","Uruguay",1
"43","Venezuela",1
"44","Vietnam",2
