Species,Number_Cont,Conts,Number_Cntr,Cntrs,Count
Afrius flavirostrum,1,Africa,3,Madagascar - Mauritius - Seychelles,18
Afrius kolleri,1,Africa,5,Angola - Democratic Republic of the Congo - Ethiopia - Kenya - Uganda,13
Afrius purpureus,2,Africa - Asia,25,Benin - Cameroon - Cabo Verde - Central African Republic - Chad - Democratic Republic of the Congo - Equatorial Guinea - Ethiopia - Gabon - Ghana - Guinea-Bissau - Côte d'Ivoire - Kenya - Mali - Mozambique - Namibia - Nigeria - Senegal - Somalia - South Africa - South Sudan - Tanzania - Togo - Uganda - Yemen,101
Alcaeorrhynchus grandis,2,South America - North America,12,Argentina - Bolivia - Brazil - Ecuador - French Guiana - Honduras - México - Paraguay - Peru - Uruguay - United States - Venezuela,104
Alcaeorrhynchus phymatophorus,1,North America,3,Cuba - Dominican Republic - Puerto Rico,5
Amyotea erythromela,1,Asia,1,Indonesia,3
Amyotea frontalis,1,Asia,1,Indonesia,2
Amyotea glaucolimbata,1,Oceania,1,Papua New Guinea,1
Amyotea hamata,3,Australia - Asia - Oceania,3,Australia - Indonesia - Papua New Guinea,9
Amyotea lata,1,Asia,1,China,4
Amyotea malabarica,1,Asia,5,China - Taiwan - India - Indonesia - Philippines,43
Amyotea micans,1,Asia,1,Indonesia,1
Amyotea reciproca,2,Asia - Oceania,2,Indonesia - Papua New Guinea,3
Anasida funebris,1,Africa,1,South Africa,1
Anasida orientalis,1,Asia,1,India,3
Anasida schoutedeni,1,Africa,1,Angola,1
Anasida tenebrio,1,Africa,5,Democratic Republic of the Congo - Cameroon - Central African Republic - Côte d'Ivoire - Guinea,9
Andrallus spinidens,4,South America - Africa - Asia - North America,23,Argentina - Democratic Republic of the Congo - Botswana - Bhutan - Brazil - China - Taiwan - Haiti - Honduras - India - Indonesia - Iran - Japan - Madagascar - Malaysia - México - Pakistan - Kenya - Turkey - Turkmenistan - Uganda - United States - Vietnam,75
Apateticus lineolatus,2,North America - South America,9,Costa Rica - El Salvador - Guatemala - Honduras - México - Panama - Puerto Rico - United States - Venezuela,83
Apateticus marginiventris,1,North America,2,México - United States,14
Apoecilus bracteatus,1,North America,2,Canada - United States,231
Apoecilus cynicus,1,North America,2,Canada - United States,192
Apoecilus invarius,1,North America,1,México,2
Arma custos,2,Asia - Europe,14,Azerbaijan - China - Czechia - France - Germany - Hungary - Iran - Poland - Portugal - Russia - Slovakia - Spain - Switzerland - Turkey,78
Arma ferruginea,1,Asia,1,China,5
Arma insperata,1,Asia,1,Turkey,3
Arma koreana,1,Asia,2,China - North Korea,7
Arma maculata,1,Asia,1,China,2
Arma tubercula,1,Asia,1,China,3
Arma velata,1,Asia,1,India,1
Australojalla versicolor,1,Australia,1,Australia,1
Blachia ducalis,1,Asia,3,China - India - Indonesia,5
Brontocoris nigrolimbatus,1,South America,2,Chile - Paraguay,2
