"","Species","is_endemic","n"
"1","Afrius flavirostrum","Not Endemic",18
"2","Afrius kolleri","Not Endemic",13
"3","Afrius purpureus","Not Endemic",101
"4","Alcaeorrhynchus grandis","Not Endemic",104
"5","Alcaeorrhynchus phymatophorus","Not Endemic",5
"6","Amyotea erythromela","Endemic",3
"7","Amyotea frontalis","Endemic",2
"8","Amyotea glaucolimbata","Endemic",1
"9","Amyotea hamata","Not Endemic",9
"10","Amyotea lata","Endemic",4
"11","Amyotea malabarica","Not Endemic",43
"12","Amyotea micans","Endemic",1
"13","Amyotea reciproca","Not Endemic",3
"14","Anasida funebris","Endemic",1
"15","Anasida orientalis","Endemic",3
"16","Anasida schoutedeni","Endemic",1
"17","Anasida tenebrio","Not Endemic",9
"18","Andrallus spinidens","Not Endemic",75
"19","Apateticus lineolatus","Not Endemic",83
"20","Apateticus marginiventris","Not Endemic",14
"21","Apoecilus bracteatus","Not Endemic",231
"22","Apoecilus cynicus","Not Endemic",192
"23","Apoecilus invarius","Endemic",2
"24","Arma custos","Not Endemic",78
"25","Arma ferruginea","Endemic",5
"26","Arma insperata","Endemic",3
"27","Arma koreana","Not Endemic",7
"28","Arma maculata","Endemic",2
"29","Arma tubercula","Endemic",3
"30","Arma velata","Endemic",1
"31","Australojalla versicolor","Endemic",1
"32","Blachia ducalis","Not Endemic",5
"33","Brontocoris nigrolimbatus","Not Endemic",2
"34","Brontocoris tabidus","Not Endemic",34
"35","Bulbostethus chrysopterus","Not Endemic",5
"36","Bulbostethus transversalis","Endemic",3
"37","Canthecona discolor","Not Endemic",12
"38","Cantheconesia cyanacantha","Not Endemic",4
"39","Cantheconidea humeralis","Not Endemic",12
"40","Cantheconidea javana","Not Endemic",15
"41","Cantheconidea mitis","Not Endemic",3
"42","Cazira bergrothi","Endemic",1
"43","Cazira breddini","Not Endemic",6
"44","Cazira chiroptera","Not Endemic",4
"45","Cazira concinna","Endemic",2
"46","Cazira emeia","Endemic",4
"47","Cazira flava","Endemic",2
"48","Cazira frivaldskyi","Not Endemic",10
"49","Cazira fruhstorferi","Endemic",1
"50","Cazira horvathi","Not Endemic",3
"51","Cazira inerma","Endemic",6
"52","Cazira insignis","Not Endemic",2
"53","Cazira internexa","Endemic",1
"54","Cazira kirkaldyi","Endemic",1
"55","Cazira membrania","Endemic",4
"56","Cazira montandoni","Not Endemic",2
"57","Cazira reuteri","Endemic",1
"58","Cazira schwarzi","Endemic",1
"59","Cazira sichuana","Endemic",1
"60","Cazira similis","Not Endemic",2
"61","Cazira thibetensis","Endemic",2
"62","Cazira ulcerata","Not Endemic",7
"63","Cazira vegeta","Not Endemic",5
"64","Cazira verrucosa","Not Endemic",27
"65","Cazira yunnanica","Endemic",1
"66","Cecyrina flata","Endemic",1
"67","Cecyrina platyrhinoides","Not Endemic",16
"68","Cecyrina rubra","Endemic",1
"69","Cermatulus nasalis","Endemic",24
"70","Cermatulus turbotti","Endemic",1
"71","Colpothyreus flavolineatus","Endemic",1
"72","Comperocoris roehneri","Endemic",7
"73","Conquistator mucronatus","Endemic",1
"74","Coryzorhaphis carneolus","Not Endemic",12
"75","Coryzorhaphis cruciata","Not Endemic",19
"76","Coryzorhaphis dollingi","Endemic",1
"77","Coryzorhaphis egeri","Not Endemic",3
"78","Coryzorhaphis leucocephala","Endemic",10
"79","Coryzorhaphis superba","Endemic",1
"80","Damarius splendidulus","Not Endemic",14
"81","Dinorhynchus dybowskyi","Not Endemic",10
"82","Dinorhynchus opulentus","Endemic",2
"83","Discocera cayennensis","Not Endemic",9
"84","Discocera coccinea","Not Endemic",24
"85","Dorycoris pavoninus","Not Endemic",40
"86","Ealda minax","Endemic",1
"87","Eocanthecona acuta ","Endemic",2
"88","Eocanthecona binotata","Not Endemic",3
"89","Eocanthecona concinna","Not Endemic",15
"90","Eocanthecona eburnea","Endemic",1
"91","Eocanthecona formosa","Endemic",1
"92","Eocanthecona furcellata","Not Endemic",62
"93","Eocanthecona glaugeri","Endemic",1
"94","Eocanthecona insularis","Endemic",1
"95","Eocanthecona japonicola","Not Endemic",3
"96","Eocanthecona kyushuensis","Endemic",1
"97","Eocanthecona latipes","Endemic",4
"98","Eocanthecona neotibialis","Endemic",1
"99","Eocanthecona ornatula","Endemic",2
"100","Eocanthecona parva","Not Endemic",13
"101","Eocanthecona populusi","Endemic",1
