"","Species","is_endemic"
"1","Afrius flavirostrum","Endemic"
"2","Afrius kolleri","Endemic"
"3","Afrius purpureus","Not Endemic"
"4","Alcaeorrhynchus grandis","Not Endemic"
"5","Alcaeorrhynchus phymatophorus","Endemic"
"6","Amyotea erythromela","Endemic"
"7","Amyotea frontalis","Endemic"
"8","Amyotea glaucolimbata","Endemic"
"9","Amyotea hamata","Not Endemic"
"10","Amyotea lata","Endemic"
"11","Amyotea malabarica","Endemic"
"12","Amyotea micans","Endemic"
"13","Amyotea reciproca","Not Endemic"
"14","Anasida funebris","Endemic"
"15","Anasida orientalis","Endemic"
"16","Anasida schoutedeni","Endemic"
"17","Anasida tenebrio","Endemic"
"18","Andrallus spinidens","Not Endemic"
"19","Apateticus lineolatus","Not Endemic"
"20","Apateticus marginiventris","Endemic"
"21","Apoecilus bracteatus","Endemic"
"22","Apoecilus cynicus","Endemic"
"23","Apoecilus invarius","Endemic"
"24","Arma custos","Not Endemic"
"25","Arma ferruginea","Endemic"
"26","Arma insperata","Endemic"
"27","Arma koreana","Endemic"
"28","Arma maculata","Endemic"
"29","Arma tubercula","Endemic"
"30","Arma velata","Endemic"
"31","Australojalla versicolor","Endemic"
"32","Blachia ducalis","Endemic"
"33","Brontocoris nigrolimbatus","Endemic"
"34","Brontocoris tabidus","Endemic"
"35","Bulbostethus chrysopterus","Endemic"
"36","Bulbostethus transversalis","Endemic"
"37","Canthecona discolor","Endemic"
"38","Cantheconesia cyanacantha","Endemic"
"39","Cantheconidea humeralis","Endemic"
"40","Cantheconidea javana","Endemic"
"41","Cantheconidea mitis","Endemic"
"42","Cazira bergrothi","Endemic"
"43","Cazira breddini","Endemic"
"44","Cazira chiroptera","Endemic"
"45","Cazira concinna","Endemic"
"46","Cazira emeia","Endemic"
"47","Cazira flava","Endemic"
"48","Cazira frivaldskyi","Endemic"
"49","Cazira fruhstorferi","Endemic"
"50","Cazira horvathi","Endemic"
"51","Cazira inerma","Endemic"
"52","Cazira insignis","Endemic"
"53","Cazira internexa","Endemic"
"54","Cazira kirkaldyi","Endemic"
"55","Cazira membrania","Endemic"
"56","Cazira montandoni","Endemic"
"57","Cazira reuteri","Endemic"
