Genus,Subgenus,Species,Author ,Local_Label,Y_Latitude,X_Longitude,Refs,Observations
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Elizabethville (Lubumbashi) ,-11.68,27.49,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Galikoko ,-4.96,21.25,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Ituri ,1.87,29.26,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Kabwekanono ,-5.81,28.56,Schouteden 1972; Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Lukombe ,-4.37,22.17,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911","DEMOCRATIC REPUBLIC OF THE CONGO: Lulua, Kananga ",-7.96,22.43,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga ,-8.92,27.2,Schouteden 1972; Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga ,-8.92,27.2,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",DEMOCRATIC REPUBLIC OF THE CONGO: Ngowa,-5.74,16.59,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",UGANDA:: Mpumu ,0.35,32.83,Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",UGANDA:: Bukalasa ,0.7,32.51,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,kolleri,"Schouteden, 1911",ANGOLA: Zaire,-6.58,13.51,Thomas 1994,
Afrius,Afrius,kolleri,"Schouteden, 1911",KENYA,1,38,Thomas 1994,
Afrius,Afrius,kolleri,"Schouteden, 1911",ETHIOPIA,9,39.5,Thomas 1994,
