Genus	Species	Local_Label	decimalLongitude	decimalLatitude	Refs
Afrius	Afrius flavirostrum	MADAGASCAR: Ambanja 	48.45000	-13.66000	Cachan 1952; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Amber Forest Reserve 	49.19000	-12.45000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Ankarafantsika 	46.45000	-15.72000	Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Diego-Suarez 	49.30000	-12.32000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Fenoarivo Atsinanana 	49.30000	-17.38000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Helodranon’ Antongila: Antanambe 	49.84000	-16.44000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Ivondro: between Tamatave and Andevorante 	49.36000	-18.23000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Maevatanana 	48.53000	-13.88000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Morondava 	44.29000	-20.29000	Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Mt. d’Ambre 	49.15000	-12.58000	Cachan 1952; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Nosy Mitsio 	48.60360	-12.89940	Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Périnet: Analamazoatra 	48.43000	-18.93000	Cachan 1952; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Tulear: Zombitse Forest 	44.67000	-22.78000	Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Vohemar 	50.00000	-13.37000	Roell et al. 2019
Afrius	Afrius flavirostrum	MAURITIUS: Reduit 	57.49000	-20.23000	Roell et al. 2019
Afrius	Afrius flavirostrum	MAURITIUS: Rose Hill 	57.47000	-20.24000	Mamet 1957; Roell et al. 2019
Afrius	Afrius flavirostrum	SEYCHELLES ISLANDS: Aldabra 	46.32070	-9.46930	Distant 1913; Roell et al. 2019
Afrius	Afrius flavirostrum	MADAGASCAR: Alaotra Mangoro: Perinet	48.41000	-18.93000	Gapon & Konstantinov 2006
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Elizabethville (Lubumbashi) 	27.49000	-11.68000	Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Galikoko 	21.25000	-4.96000	Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Ituri 	29.26000	1.87000	Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Kabwekanono 	28.56000	-5.81000	Schouteden 1972; Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Lukombe 	22.17000	-4.37000	Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Lulua, Kananga 	22.43000	-7.96000	Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga 	27.20000	-8.92000	Schouteden 1972; Roell et al. 2019
Afrius	Afrius kolleri	DEMOCRATIC REPUBLIC OF THE CONGO: Ngowa	16.59000	-5.74000	Roell et al. 2019
Afrius	Afrius kolleri	UGANDA:: Mpumu 	32.83000	0.35000	Roell et al. 2019
Afrius	Afrius kolleri	UGANDA:: Bukalasa 	32.51000	0.70000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius kolleri	ANGOLA: Zaire	13.51000	-6.58000	Thomas 1994
Afrius	Afrius kolleri	KENYA	38.00000	1.00000	Thomas 1994
Afrius	Afrius kolleri	ETHIOPIA	39.50000	9.00000	Thomas 1994
Afrius	Afrius purpureus	BENIN: Bassila	1.66000	9.00000	Villiers 1952; Roell et al. 2019
Afrius	Afrius purpureus	BENIN: Ouidah 	2.08000	6.45000	Roell et al. 2019
Afrius	Afrius purpureus	BENIN: Tchaourou	2.59000	8.88000	Linnavuori 1982, 1989; Roell et al. 2019
Afrius	Afrius purpureus	CAMEROON: Baïgom 	10.68000	5.57000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	CAMEROON: Dschang 	10.05000	5.44000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: Maio 	-23.16000	15.21000	Arechavaleta et al. 2005; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: Maio: Monte Penoso 	-23.13000	15.22000	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: Maio: Porto Ingles 	-23.21210	15.14500	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: Santiago 	-23.62000	15.08000	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: Santo Antão: Porto Novo 	-25.06000	17.06000	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: São Nicolau: Ribeira Brava 	-24.29000	16.61000	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CAPE VERDE: São Vicente: Monte Verde 	-24.93000	16.87000	Lindberg 1958; Roell et al. 2019
Afrius	Afrius purpureus	CENTRAL AFRICAN REPUBLIC: Bouar 	15.59000	5.93000	Roell et al. 2019
Afrius	Afrius purpureus	CENTRAL AFRICAN REPUBLIC: Mambéré-Kadéï [as Haute-Sangha] 	16.00000	4.50000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	CHAD: Bébédjia 	16.57000	8.67000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	CHAD: Goundi 	17.37000	9.36000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Faradje (Faradje: Congo 29o40' F; 3o40' N. I.1913 Lang & Chapin collection)	29.71000	3.74000	AMNH
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Duma 	30.57000	2.57000	Lehmann 1922; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Kananga 	22.43000	-7.96000	Distant 1901; Schouteden 1909; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Kwango: Indaba 	17.06000	-5.74000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Tanganika: Mpala 	29.52000	-6.73000	Schouteden 1905, 1909; Roell et al. 2019
Afrius	Afrius purpureus	EQUATORIAL GUINEA: Bioko [Fernando Po] 	8.66000	3.41000	Stål 1870; Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	ETHIOPIA: Oromiya: Banno	37.40000	4.85000	Hilgert 1908; Roell et al. 2019
Afrius	Afrius purpureus	ETHIOPIA: Ziway Hãyk 	38.83000	8.00000	Roell et al. 2019
Afrius	Afrius purpureus	GABON:Lambaréné 	10.24000	-0.70000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	GHANA: Ashanti: Tafo. 1966-XII-15. (U.V. Trap. Tafo Ghana 15.XII.66)	-1.61000	6.73000	DARC
Afrius	Afrius purpureus	GHANA: Ashanti: Tafo 	-1.61000	6.74000	Roell et al. 2019
Afrius	Afrius purpureus	GUINEA: Kindia 	18.86000	10.40000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	GUINEA-BISSAU: Bolama 	-15.94000	11.46000	Schouteden 1913; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Adiopodoumé 	-4.13000	5.43000	Gillon 1972; Linnavuori 1982, 1989; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Bingerville 	-3.88000	5.35000	Schouteden 1964; Gillon 1972; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Bouaflé 	-5.74000	6.99000	Gillon 1972; Roell et al. 2019
