genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Afrius,Afrius flavirostrum,MADAGASCAR: Alaotra Mangoro: Perinet,48.41,-18.93,Gapon & Konstantinov 2006,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Ambanja ,48.45,-13.66,Cachan 1952; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Amber Forest Reserve ,49.19,-12.45,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Ankarafantsika ,46.45,-15.72,Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Diego-Suarez ,49.3,-12.32,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Fenoarivo Atsinanana ,49.3,-17.38,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Helodranon’ Antongila: Antanambe ,49.84,-16.44,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Ivondro: between Tamatave and Andevorante ,49.36,-18.23,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Maevatanana ,48.53,-13.88,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Morondava ,44.29,-20.29,Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Mt. d’Ambre ,49.15,-12.58,Cachan 1952; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Nosy Mitsio ,48.6036,-12.8994,Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Périnet: Analamazoatra ,48.43,-18.93,Cachan 1952; Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Tulear: Zombitse Forest ,44.67,-22.78,Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MADAGASCAR: Vohemar ,50,-13.37,Roell et al. 2019,Madagascar,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MAURITIUS: Reduit ,57.49,-20.23,Roell et al. 2019,Mauritius,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,MAURITIUS: Rose Hill ,57.47,-20.24,Mamet 1957; Roell et al. 2019,Mauritius,Africa,Afrotropic,No
Afrius,Afrius flavirostrum,SEYCHELLES ISLANDS: Aldabra ,46.3207,-9.4693,Distant 1913; Roell et al. 2019,Seychelles,Africa,Afrotropic,No
Afrius,Afrius kolleri,ANGOLA: Zaire,13.51,-6.58,Thomas 1994,Angola,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Elizabethville (Lubumbashi) ,27.49,-11.68,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Galikoko ,21.25,-4.96,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Ituri ,29.26,1.87,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Kabwekanono ,28.56,-5.81,Schouteden 1972; Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Lukombe ,22.17,-4.37,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,"DEMOCRATIC REPUBLIC OF THE CONGO: Lulua, Kananga ",22.43,-7.96,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga ,27.2,-8.92,Schouteden 1972; Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,DEMOCRATIC REPUBLIC OF THE CONGO: Ngowa,16.59,-5.74,Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius kolleri,ETHIOPIA,39.5,9,Thomas 1994,Ethiopia,Africa,Afrotropic,Yes
Afrius,Afrius kolleri,KENYA,38,1,Thomas 1994,Kenya,Africa,Afrotropic,Yes
Afrius,Afrius kolleri,UGANDA:: Bukalasa ,32.51,0.7,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius kolleri,UGANDA:: Mpumu ,32.83,0.35,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,BENIN: Bassila,1.66,9,Villiers 1952; Roell et al. 2019,Benin,Africa,Afrotropic,No
Afrius,Afrius purpureus,BENIN: Ouidah ,2.08,6.45,Roell et al. 2019,Benin,Africa,Afrotropic,No
Afrius,Afrius purpureus,BENIN: Tchaourou,2.59,8.88,"Linnavuori 1982, 1989; Roell et al. 2019",Benin,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAMEROON: Baïgom ,10.68,5.57,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Cameroon,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAMEROON: Dschang ,10.05,5.44,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Cameroon,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: Maio ,-23.16,15.21,Arechavaleta et al. 2005; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: Maio: Monte Penoso ,-23.13,15.22,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: Maio: Porto Ingles ,-23.2121,15.145,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: Santiago ,-23.62,15.08,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: Santo Antão: Porto Novo ,-25.06,17.06,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: São Nicolau: Ribeira Brava ,-24.29,16.61,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CAPE VERDE: São Vicente: Monte Verde ,-24.93,16.87,Lindberg 1958; Roell et al. 2019,Cabo Verde,Africa,Afrotropic,No
Afrius,Afrius purpureus,CENTRAL AFRICAN REPUBLIC: Bouar ,15.59,5.93,Roell et al. 2019,Central African Republic,Africa,Afrotropic,No
Afrius,Afrius purpureus,CENTRAL AFRICAN REPUBLIC: Mambéré-Kadéï [as Haute-Sangha] ,16,4.5,Schouteden 1905; Roell et al. 2019,Central African Republic,Africa,Afrotropic,No
Afrius,Afrius purpureus,CHAD: Bébédjia ,16.57,8.67,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Chad,Africa,Afrotropic,No
Afrius,Afrius purpureus,CHAD: Goundi ,17.37,9.36,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Chad,Africa,Afrotropic,No
Afrius,Afrius purpureus,DEMOCRATIC REPUBLIC OF THE CONGO: Duma ,30.57,2.57,Lehmann 1922; Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius purpureus,DEMOCRATIC REPUBLIC OF THE CONGO: Faradje (Faradje: Congo 29o40' F; 3o40' N. I.1913 Lang & Chapin collection),29.71,3.74,AMNH,Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius purpureus,DEMOCRATIC REPUBLIC OF THE CONGO: Kananga ,22.43,-7.96,Distant 1901; Schouteden 1909; Roell et al. 2019,Democratic Republic of the Congo,Africa,Afrotropic,No
