"","Species","Number_Cont","Conts","Number_Cntr","Cntrs","Count"
"1","Afrius flavirostrum",1,"Africa",3,"Madagascar - Mauritius - Seychelles",18
"2","Afrius kolleri",1,"Africa",5,"Democratic Republic of the Congo - Uganda - Angola - Kenya - Ethiopia",13
"3","Afrius purpureus",2,"Africa - Asia",25,"Benin - Cameroon - Cabo Verde - Central African Republic - Chad - Democratic Republic of the Congo - Equatorial Guinea - Ethiopia - Gabon - Ghana - Guinea-Bissau - Côte d'Ivoire - Kenya - Mali - Mozambique - Namibia - Nigeria - Senegal - Somalia - South Africa - South Sudan - Tanzania - Togo - Uganda - Yemen",101
"4","Alcaeorrhynchus grandis",2,"North America - South America",12,"Honduras - French Guiana - United States - Argentina - Bolivia - Brazil - Paraguay - Uruguay - México - Venezuela - Ecuador - Peru",104
"5","Alcaeorrhynchus phymatophorus",1,"North America",3,"Cuba - Puerto Rico - Dominican Republic",5
"6","Amyotea erythromela",1,"Asia",1,"Indonesia",3
"7","Amyotea frontalis",1,"Asia",1,"Indonesia",2
"8","Amyotea glaucolimbata",1,"Oceania",1,"Papua New Guinea",1
"9","Amyotea hamata",3,"Australia - Asia - Oceania",3,"Australia - Indonesia - Papua New Guinea",9
"10","Amyotea lata",1,"Asia",1,"China",4
"11","Amyotea malabarica",1,"Asia",5,"India - Indonesia - Philippines - China - Taiwan",43
"12","Amyotea micans",1,"Asia",1,"Indonesia",1
"13","Amyotea reciproca",2,"Asia - Oceania",2,"Indonesia - Papua New Guinea",3
"14","Anasida funebris",1,"Africa",1,"South Africa",1
"15","Anasida orientalis",1,"Asia",1,"India",3
"16","Anasida schoutedeni",1,"Africa",1,"Angola",1
"17","Anasida tenebrio",1,"Africa",5,"Central African Republic - Côte d'Ivoire - Guinea - Cameroon - Democratic Republic of the Congo",9
"18","Andrallus spinidens",4,"Africa - Asia - North America - South America",23,"Madagascar - India - Honduras - Turkmenistan - Pakistan - Turkey - México - Haiti - Iran - Japan - China - Taiwan - Botswana - Malaysia - Indonesia - Vietnam - Argentina - Brazil - United States - Bhutan - Uganda - Democratic Republic of the Congo - Kenya",75
"19","Apateticus lineolatus",2,"North America - South America",9,"Honduras - United States - México - Costa Rica - Guatemala - Panama - Puerto Rico - Venezuela - El Salvador",83
"20","Apateticus marginiventris",1,"North America",2,"United States - México",14
"21","Apoecilus bracteatus",1,"North America",2,"Canada - United States",231
"22","Apoecilus cynicus",1,"North America",2,"United States - Canada",192
"23","Apoecilus invarius",1,"North America",1,"México",2
"24","Arma custos",2,"Asia - Europe",14,"China - Russia - Azerbaijan - Turkey - Iran - Spain - Portugal - Hungary - Switzerland - Slovakia - Czechia - Germany - Poland - France",78
"25","Arma ferruginea",1,"Asia",1,"China",5
"26","Arma insperata",1,"Asia",1,"Turkey",3
"27","Arma koreana",1,"Asia",2,"North Korea - China",7
"28","Arma maculata",1,"Asia",1,"China",2
"29","Arma tubercula",1,"Asia",1,"China",3
"30","Arma velata",1,"Asia",1,"India",1
"31","Australojalla versicolor",1,"Australia",1,"Australia",1
"32","Blachia ducalis",1,"Asia",3,"India - China - Indonesia",5
"33","Brontocoris nigrolimbatus",1,"South America",2,"Chile - Paraguay",2
"34","Brontocoris tabidus",1,"South America",4,"Argentina - Paraguay - Brazil - Uruguay",34
"35","Bulbostethus chrysopterus",1,"Oceania",2,"Northern Mariana Islands - Guam",5
"36","Bulbostethus transversalis",1,"Oceania",1,"Northern Mariana Islands",3
"37","Canthecona discolor",1,"Africa",7,"Cameroon - Gabon - Côte d'Ivoire - Guinea - Angola - Uganda - Democratic Republic of the Congo",12
"38","Cantheconesia cyanacantha",1,"Oceania",3,"Fiji - Vanuatu - Samoa",4
"39","Cantheconidea humeralis",1,"Asia",4,"China - Myanmar - Laos - Thailand",12
"40","Cantheconidea javana",1,"Asia",8,"India - Myanmar - China - Thailand - Indonesia - Timor-Leste - Philippines - Malaysia",15
"41","Cantheconidea mitis",1,"Asia",2,"Indonesia - Timor-Leste",3
"42","Cazira bergrothi",1,"Asia",1,"Vietnam",1
"43","Cazira breddini",1,"Asia",3,"Vietnam - China - India",6
"44","Cazira chiroptera",1,"Asia",2,"Indonesia - Philippines",4
"45","Cazira concinna",1,"Asia",1,"China",2
"46","Cazira emeia",1,"Asia",1,"China",4
"47","Cazira flava",1,"Asia",1,"China",2
"48","Cazira frivaldskyi",1,"Asia",4,"India - Vietnam - China - Bhutan",10
"49","Cazira fruhstorferi",1,"Asia",1,"Indonesia",1
"50","Cazira horvathi",1,"Asia",2,"China - Vietnam",3
"51","Cazira inerma",1,"Asia",1,"China",6
"52","Cazira insignis",1,"Asia",2,"India - Bhutan",2
"53","Cazira internexa",1,"Asia",1,"Cambodia",1
"54","Cazira kirkaldyi",1,"Asia",1,"Indonesia",1
"55","Cazira membrania",1,"Asia",1,"China",4
"56","Cazira montandoni",1,"Asia",2,"China - Vietnam",2
"57","Cazira reuteri",1,"Asia",1,"Vietnam",1
"58","Cazira schwarzi",1,"Asia",1,"Pakistan",1
"59","Cazira sichuana",1,"Asia",1,"China",1
"60","Cazira similis",1,"Asia",2,"Vietnam - India",2
"61","Cazira thibetensis",1,"Asia",1,"China",2
"62","Cazira ulcerata",1,"Asia",3,"India - Vietnam - Thailand",7
"63","Cazira vegeta",1,"Asia",2,"India - China",5
"64","Cazira verrucosa",1,"Asia",5,"India - Pakistan - Vietnam - China - Taiwan",27
"65","Cazira yunnanica",1,"Asia",1,"China",1
"66","Cecryina flata",1,"Asia",1,"China",1
"67","Cecryina platyrhinoides",1,"Asia",5,"China - Arunachal Pradesh - Bhutan - Vietnam - India",16
"68","Cecryina rubra",1,"Asia",1,"China",1
"69","Cermatulus nasalis",1,"Australia",1,"Australia",24
"70","Cermatulus turbotti",1,"Oceania",1,"New Zealand",1
"71","Colpothyreus flavolineatus",1,"South America",1,"Brazil",1
"72","Comperocoris roehneri",1,"South America",1,"Chile",7
"73","Conquistator mucronatus",1,"North America",1,"United States",1
"74","Coryzorhaphis carneolus",1,"South America",3,"Colombia - French Guiana - Brazil",12
"75","Coryzorhaphis cruciata",2,"North America - South America",3,"Honduras - México - Venezuela",19
"76","Coryzorhaphis dollingi",1,"South America",1,"Ecuador",1
"77","Coryzorhaphis egeri",1,"North America",3,"México - Guatemala - Costa Rica",3
"78","Coryzorhaphis leucocephala",1,"South America",1,"Brazil",10
"79","Coryzorhaphis superba",1,"South America",1,"Colombia",1
"80","Damarius splendidulus",1,"Africa",8,"Cameroon - Central African Republic - Côte d'Ivoire - Ethiopia - Ghana - Sierra Leone - Democratic Republic of the Congo - Uganda",14
"81","Dinorhynchus dybowskyi",2,"Europe - Asia",3,"Russia - China - Japan",10
"82","Dinorhynchus opulentus",1,"Asia",1,"China",2
"83","Discocera cayennensis",1,"South America",4,"Uruguay - French Guiana - Brazil - Peru",9
"84","Discocera coccinea",1,"South America",5,"Bolivia - Paraguay - Peru - French Guiana - Brazil",24
"85","Dorycoris pavoninus",1,"Africa",21,"Benin - Burkina Faso - Central African Republic - Republic of the Congo - Ethiopia - Gabon - Côte d'Ivoire - Guinea - Kenya - Madagascar - Senegal - Sierra Leone - Angola - Ghana - Cameroon - Togo - Nigeria - South Africa - Tanzania - Democratic Republic of the Congo - Rwanda",40
"86","Ealda minax",1,"Oceania",1,"New Caledonia",1
"87","Eocanthecona acuta ",1,"Asia",1,"Indonesia",2
